member_no,date,amount,source,reference,description
ILS24-F00041,2024-12-31,28543,utt,DIV-ILS24-F00041-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00041,2025-11-25,34770,utt,DIV-ILS24-F00041-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00041,2025-12-15,53031,loan,DIV-ILS24-F00041-03,DIVIDENT 3 (Loan 1)
ILS24-F00041,2026-01-24,37764,utt,DIV-ILS24-F00041-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00041,2026-02-28,90144,loan,DIV-ILS24-F00041-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00041,2026-04-15,25792,utt,DIV-ILS24-F00041-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00041,2026-04-26,4103,loan,DIV-ILS24-F00041-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00041,2026-05-05,10554,utt,DIV-ILS24-F00041-08,DIV. 7 UTT 5th May 26
ILS24-F00042,2024-12-31,14866,utt,DIV-ILS24-F00042-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00042,2025-11-25,13096,utt,DIV-ILS24-F00042-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00042,2025-12-15,19974,loan,DIV-ILS24-F00042-03,DIVIDENT 3 (Loan 1)
ILS24-F00042,2026-01-24,42672,utt,DIV-ILS24-F00042-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00042,2026-02-28,101859,loan,DIV-ILS24-F00042-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00042,2026-04-15,29144,utt,DIV-ILS24-F00042-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00042,2026-04-26,20088,loan,DIV-ILS24-F00042-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00042,2026-05-05,51680,utt,DIV-ILS24-F00042-08,DIV. 7 UTT 5th May 26
ILS24-F00043,2024-12-31,14866,utt,DIV-ILS24-F00043-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00043,2025-11-25,13096,utt,DIV-ILS24-F00043-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00043,2025-12-15,19974,loan,DIV-ILS24-F00043-03,DIVIDENT 3 (Loan 1)
ILS24-F00043,2026-01-24,21336,utt,DIV-ILS24-F00043-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00043,2026-02-28,67906,loan,DIV-ILS24-F00043-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00043,2026-04-15,29144,utt,DIV-ILS24-F00043-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00043,2026-04-26,4636,loan,DIV-ILS24-F00043-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00043,2026-05-05,11926,utt,DIV-ILS24-F00043-08,DIV. 7 UTT 5th May 26
ILS24-F00044,2024-12-31,9366,utt,DIV-ILS24-F00044-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00044,2025-11-25,8251,utt,DIV-ILS24-F00044-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00044,2025-12-15,12584,loan,DIV-ILS24-F00044-03,DIVIDENT 3 (Loan 1)
ILS24-F00044,2026-01-24,8961,utt,DIV-ILS24-F00044-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00044,2026-02-28,89297,loan,DIV-ILS24-F00044-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00044,2026-04-15,25550,utt,DIV-ILS24-F00044-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00044,2026-04-26,6382,loan,DIV-ILS24-F00044-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00044,2026-05-05,16418,utt,DIV-ILS24-F00044-08,DIV. 7 UTT 5th May 26
ILS24-F00045,2024-12-31,11893,utt,DIV-ILS24-F00045-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00045,2025-11-25,10477,utt,DIV-ILS24-F00045-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00045,2025-12-15,15979,loan,DIV-ILS24-F00045-03,DIVIDENT 3 (Loan 1)
ILS24-F00045,2026-01-24,11379,utt,DIV-ILS24-F00045-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00045,2026-02-28,27162,loan,DIV-ILS24-F00045-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00045,2026-04-15,7772,utt,DIV-ILS24-F00045-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00045,2026-04-26,5099,loan,DIV-ILS24-F00045-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00045,2026-05-05,13119,utt,DIV-ILS24-F00045-08,DIV. 7 UTT 5th May 26
ILS24-F00046,2024-12-31,14866,utt,DIV-ILS24-F00046-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00046,2025-11-25,13096,utt,DIV-ILS24-F00046-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00046,2025-12-15,19974,loan,DIV-ILS24-F00046-03,DIVIDENT 3 (Loan 1)
ILS24-F00046,2026-01-24,14224,utt,DIV-ILS24-F00046-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00046,2026-02-28,33953,loan,DIV-ILS24-F00046-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00046,2026-04-15,28659,utt,DIV-ILS24-F00046-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00046,2026-04-26,4868,loan,DIV-ILS24-F00046-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00046,2026-05-05,12522,utt,DIV-ILS24-F00046-08,DIV. 7 UTT 5th May 26
ILS24-F00047,2024-12-31,10599,utt,DIV-ILS24-F00047-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00047,2025-11-25,9338,utt,DIV-ILS24-F00047-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00047,2025-12-15,14242,loan,DIV-ILS24-F00047-03,DIVIDENT 3 (Loan 1)
ILS24-F00047,2026-01-24,10142,utt,DIV-ILS24-F00047-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00047,2026-02-28,24209,loan,DIV-ILS24-F00047-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00047,2026-04-15,7898,utt,DIV-ILS24-F00047-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00047,2026-04-26,1256,loan,DIV-ILS24-F00047-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00047,2026-05-05,3232,utt,DIV-ILS24-F00047-08,DIV. 7 UTT 5th May 26
ILS24-F00048,2024-12-31,16501,utt,DIV-ILS24-F00048-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00048,2025-11-25,14537,utt,DIV-ILS24-F00048-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00048,2025-12-15,22171,loan,DIV-ILS24-F00048-03,DIVIDENT 3 (Loan 1)
ILS24-F00048,2026-01-24,15789,utt,DIV-ILS24-F00048-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00048,2026-02-28,47874,loan,DIV-ILS24-F00048-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00048,2026-04-15,16127,utt,DIV-ILS24-F00048-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00048,2026-04-26,2565,loan,DIV-ILS24-F00048-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00048,2026-05-05,6599,utt,DIV-ILS24-F00048-08,DIV. 7 UTT 5th May 26
ILS24-F00049,2024-12-31,10406,utt,DIV-ILS24-F00049-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00049,2025-11-25,17680,utt,DIV-ILS24-F00049-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00049,2025-12-15,26965,loan,DIV-ILS24-F00049-03,DIVIDENT 3 (Loan 1)
ILS24-F00049,2026-01-24,27665,utt,DIV-ILS24-F00049-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00049,2026-02-28,99990,loan,DIV-ILS24-F00049-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00049,2026-04-15,32010,utt,DIV-ILS24-F00049-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00049,2026-04-26,6931,loan,DIV-ILS24-F00049-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00049,2026-05-05,17831,utt,DIV-ILS24-F00049-08,DIV. 7 UTT 5th May 26
ILS24-F00050,2024-12-31,11893,utt,DIV-ILS24-F00050-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00050,2025-11-25,10477,utt,DIV-ILS24-F00050-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00050,2025-12-15,15979,loan,DIV-ILS24-F00050-03,DIVIDENT 3 (Loan 1)
ILS24-F00050,2026-01-24,11379,utt,DIV-ILS24-F00050-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00050,2026-02-28,27162,loan,DIV-ILS24-F00050-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00050,2026-04-15,12629,utt,DIV-ILS24-F00050-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00050,2026-04-26,2009,loan,DIV-ILS24-F00050-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00050,2026-05-05,5168,utt,DIV-ILS24-F00050-08,DIV. 7 UTT 5th May 26
ILS24-F00051,2024-12-31,743,utt,DIV-ILS24-F00051-01,DIVIDENT 1 UTT (Year 1)
