member_no,date,amount,source,reference,description
ILS24-F00001,2024-12-31,32705,utt,DIV-ILS24-F00001-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00001,2025-11-25,48456,utt,DIV-ILS24-F00001-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00001,2025-12-15,73905,loan,DIV-ILS24-F00001-03,DIVIDENT 3 (Loan 1)
ILS24-F00001,2026-01-24,128015,utt,DIV-ILS24-F00001-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00001,2026-02-28,366694,loan,DIV-ILS24-F00001-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00001,2026-04-15,173412,utt,DIV-ILS24-F00001-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00001,2026-04-26,40450,loan,DIV-ILS24-F00001-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00001,2026-05-05,104062,utt,DIV-ILS24-F00001-08,DIV. 7 UTT 5th May 26
ILS24-F00002,2024-12-31,52031,utt,DIV-ILS24-F00002-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00002,2025-11-25,99532,utt,DIV-ILS24-F00002-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00002,2025-12-15,151804,loan,DIV-ILS24-F00002-03,DIVIDENT 3 (Loan 1)
ILS24-F00002,2026-01-24,125170,utt,DIV-ILS24-F00002-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00002,2026-02-28,298787,loan,DIV-ILS24-F00002-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00002,2026-04-15,213337,utt,DIV-ILS24-F00002-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00002,2026-04-26,33934,loan,DIV-ILS24-F00002-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00002,2026-05-05,87299,utt,DIV-ILS24-F00002-08,DIV. 7 UTT 5th May 26
ILS24-F00003,2024-12-31,28245,utt,DIV-ILS24-F00003-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00003,2025-11-25,68101,utt,DIV-ILS24-F00003-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00003,2025-12-15,103866,loan,DIV-ILS24-F00003-03,DIVIDENT 3 (Loan 1)
ILS24-F00003,2026-01-24,140817,utt,DIV-ILS24-F00003-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00003,2026-02-28,387065,loan,DIV-ILS24-F00003-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00003,2026-04-15,220089,utt,DIV-ILS24-F00003-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00003,2026-04-26,60650,loan,DIV-ILS24-F00003-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00003,2026-05-05,156030,utt,DIV-ILS24-F00003-08,DIV. 7 UTT 5th May 26
ILS24-F00004,2024-12-31,14866,utt,DIV-ILS24-F00004-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00004,2025-11-25,15716,utt,DIV-ILS24-F00004-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00004,2025-12-15,23969,loan,DIV-ILS24-F00004-03,DIVIDENT 3 (Loan 1)
ILS24-F00004,2026-01-24,39827,utt,DIV-ILS24-F00004-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00004,2026-02-28,103557,loan,DIV-ILS24-F00004-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00004,2026-04-15,37013,utt,DIV-ILS24-F00004-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00004,2026-04-26,6119,loan,DIV-ILS24-F00004-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00004,2026-05-05,15742,utt,DIV-ILS24-F00004-08,DIV. 7 UTT 5th May 26
ILS24-F00005,2024-12-31,29732,utt,DIV-ILS24-F00005-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00005,2025-11-25,39289,utt,DIV-ILS24-F00005-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00005,2025-12-15,59923,loan,DIV-ILS24-F00005-03,DIVIDENT 3 (Loan 1)
ILS24-F00005,2026-01-24,56896,utt,DIV-ILS24-F00005-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00005,2026-02-28,237672,loan,DIV-ILS24-F00005-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00005,2026-04-15,97148,utt,DIV-ILS24-F00005-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00005,2026-04-26,15607,loan,DIV-ILS24-F00005-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00005,2026-05-05,40151,utt,DIV-ILS24-F00005-08,DIV. 7 UTT 5th May 26
ILS24-F00006,2024-12-31,29732,utt,DIV-ILS24-F00006-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00006,2025-11-25,39289,utt,DIV-ILS24-F00006-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00006,2025-12-15,59923,loan,DIV-ILS24-F00006-03,DIVIDENT 3 (Loan 1)
ILS24-F00006,2026-01-24,62186,utt,DIV-ILS24-F00006-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00006,2026-02-28,148442,loan,DIV-ILS24-F00006-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00006,2026-04-15,84135,utt,DIV-ILS24-F00006-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00006,2026-04-26,13692,loan,DIV-ILS24-F00006-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00006,2026-05-05,35223,utt,DIV-ILS24-F00006-08,DIV. 7 UTT 5th May 26
ILS24-F00007,2024-12-31,34192,utt,DIV-ILS24-F00007-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00007,2025-11-25,36277,utt,DIV-ILS24-F00007-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00007,2025-12-15,55329,loan,DIV-ILS24-F00007-03,DIVIDENT 3 (Loan 1)
ILS24-F00007,2026-01-24,76442,utt,DIV-ILS24-F00007-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00007,2026-02-28,196852,loan,DIV-ILS24-F00007-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00007,2026-04-15,151560,utt,DIV-ILS24-F00007-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00007,2026-04-26,30056,loan,DIV-ILS24-F00007-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00007,2026-05-05,77323,utt,DIV-ILS24-F00007-08,DIV. 7 UTT 5th May 26
ILS24-F00008,2024-12-31,2096,utt,DIV-ILS24-F00008-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00008,2025-11-25,1847,utt,DIV-ILS24-F00008-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00008,2025-12-15,2816,loan,DIV-ILS24-F00008-03,DIVIDENT 3 (Loan 1)
ILS24-F00008,2026-01-24,2006,utt,DIV-ILS24-F00008-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00008,2026-02-28,4787,loan,DIV-ILS24-F00008-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00008,2026-04-15,20799,utt,DIV-ILS24-F00008-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00008,2026-04-26,4158,loan,DIV-ILS24-F00008-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00008,2026-05-05,10698,utt,DIV-ILS24-F00008-08,DIV. 7 UTT 5th May 26
ILS24-F00009,2024-12-31,17393,utt,DIV-ILS24-F00009-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00009,2025-11-25,17942,utt,DIV-ILS24-F00009-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00009,2025-12-15,27365,loan,DIV-ILS24-F00009-03,DIVIDENT 3 (Loan 1)
ILS24-F00009,2026-01-24,19487,utt,DIV-ILS24-F00009-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00009,2026-02-28,46516,loan,DIV-ILS24-F00009-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00009,2026-04-15,13309,utt,DIV-ILS24-F00009-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00009,2026-04-26,2117,loan,DIV-ILS24-F00009-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00009,2026-05-05,5446,utt,DIV-ILS24-F00009-08,DIV. 7 UTT 5th May 26
ILS24-F00010,2024-12-31,29732,utt,DIV-ILS24-F00010-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00010,2025-11-25,39289,utt,DIV-ILS24-F00010-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00010,2025-12-15,59923,loan,DIV-ILS24-F00010-03,DIVIDENT 3 (Loan 1)
ILS24-F00010,2026-01-24,42672,utt,DIV-ILS24-F00010-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00010,2026-02-28,101859,loan,DIV-ILS24-F00010-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00010,2026-04-15,97148,utt,DIV-ILS24-F00010-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00010,2026-04-26,23179,loan,DIV-ILS24-F00010-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00010,2026-05-05,59630,utt,DIV-ILS24-F00010-08,DIV. 7 UTT 5th May 26
ILS24-F00011,2024-12-31,35678,utt,DIV-ILS24-F00011-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00011,2025-11-25,35360,utt,DIV-ILS24-F00011-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00011,2025-12-15,53930,loan,DIV-ILS24-F00011-03,DIVIDENT 3 (Loan 1)
ILS24-F00011,2026-01-24,62585,utt,DIV-ILS24-F00011-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00011,2026-02-28,197351,loan,DIV-ILS24-F00011-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00011,2026-04-15,84666,utt,DIV-ILS24-F00011-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00011,2026-04-26,17972,loan,DIV-ILS24-F00011-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00011,2026-05-05,46235,utt,DIV-ILS24-F00011-08,DIV. 7 UTT 5th May 26
ILS24-F00012,2024-12-31,28245,utt,DIV-ILS24-F00012-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00012,2025-11-25,36015,utt,DIV-ILS24-F00012-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00012,2025-12-15,54929,loan,DIV-ILS24-F00012-03,DIVIDENT 3 (Loan 1)
ILS24-F00012,2026-01-24,67563,utt,DIV-ILS24-F00012-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00012,2026-02-28,202021,loan,DIV-ILS24-F00012-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00012,2026-04-15,103086,utt,DIV-ILS24-F00012-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00012,2026-04-26,22419,loan,DIV-ILS24-F00012-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00012,2026-05-05,57675,utt,DIV-ILS24-F00012-08,DIV. 7 UTT 5th May 26
ILS24-F00013,2024-12-31,22299,utt,DIV-ILS24-F00013-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00013,2025-11-25,32741,utt,DIV-ILS24-F00013-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00013,2025-12-15,49936,loan,DIV-ILS24-F00013-03,DIVIDENT 3 (Loan 1)
ILS24-F00013,2026-01-24,38405,utt,DIV-ILS24-F00013-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00013,2026-02-28,95069,loan,DIV-ILS24-F00013-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00013,2026-04-15,36916,utt,DIV-ILS24-F00013-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00013,2026-04-26,8962,loan,DIV-ILS24-F00013-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00013,2026-05-05,23057,utt,DIV-ILS24-F00013-08,DIV. 7 UTT 5th May 26
