member_no,date,principal_amount,monthly_interest_rate,term_months,first_due_date,repayment_frequency,reference,description
ILS24-F00037,2025-12-12,20000000,10.0,1,2026-01-12,monthly,MIKOPO-001,Historical loan (Ilboru MIKOPO)
ILS24-F00002,2026-03-19,60000000,5.0,1,2026-04-18,monthly,MIKOPO-004,Historical loan (Ilboru MIKOPO)
ILS24-F00046,2026-03-26,12000000,5.0,1,2026-04-25,monthly,MIKOPO-005,Historical loan (Ilboru MIKOPO)
ILS24-F00054,2026-04-10,5000000,5.0,1,2026-05-09,monthly,MIKOPO-006,Historical loan (Ilboru MIKOPO)
ILS24-F00005,2026-04-11,10000000,5.0,1,2026-05-10,monthly,MIKOPO-007,Historical loan (Ilboru MIKOPO)
ILS24-F00010,2026-04-26,30000000,1.5,1,2026-05-25,monthly,MIKOPO-008,Historical loan (Ilboru MIKOPO)
ILS24-F00001,2026-04-26,15000000,1.5,1,2026-05-25,monthly,MIKOPO-009,Historical loan (Ilboru MIKOPO)
ILS24-F00054,2026-04-30,15000000,1.5,1,2026-05-29,monthly,MIKOPO-010,Historical loan (Ilboru MIKOPO)
ILS24-F00003,2026-05-04,30000000,1.5,1,2026-06-03,monthly,MIKOPO-011,Historical loan (Ilboru MIKOPO)
ILS24-F00017,2026-05-10,3000000,3.0,1,2026-06-09,monthly,MIKOPO-012,Historical loan (Ilboru MIKOPO)
ILS24-F00044,2026-05-12,5000000,2.0,1,2026-06-11,monthly,MIKOPO-013,Historical loan (Ilboru MIKOPO)
ILS24-F00032,2026-05-13,9000000,2.0,1,2026-06-12,monthly,MIKOPO-014,Historical loan (Ilboru MIKOPO)
ILS24-F00018,2026-05-13,30000000,1.5,1,2026-05-30,monthly,MIKOPO-015,Historical loan (Ilboru MIKOPO)
