member_no,loan_reference,amount,date,description
ILS24-F00037,MIKOPO-001,22000000,2026-01-12,Loan settlement to workbook total (principal + flat interest)
ILS24-F00002,MIKOPO-004,63000000,2026-04-18,Loan settlement to workbook total (principal + flat interest)
ILS24-F00046,MIKOPO-005,12600000,2026-04-25,Loan settlement to workbook total (principal + flat interest)
ILS24-F00054,MIKOPO-006,5250000,2026-05-09,Loan settlement to workbook total (principal + flat interest)
ILS24-F00005,MIKOPO-007,10500000,2026-05-10,Loan settlement to workbook total (principal + flat interest)
ILS24-F00010,MIKOPO-008,30450000,2026-05-25,Loan settlement to workbook total (principal + flat interest)
ILS24-F00001,MIKOPO-009,15225000,2026-05-25,Loan settlement to workbook total (principal + flat interest)
ILS24-F00054,MIKOPO-010,15225000,2026-05-29,Loan settlement to workbook total (principal + flat interest)
ILS24-F00003,MIKOPO-011,30450000,2026-06-03,Loan settlement to workbook total (principal + flat interest)
ILS24-F00017,MIKOPO-012,3090000,2026-06-09,Loan settlement to workbook total (principal + flat interest)
ILS24-F00044,MIKOPO-013,5100000,2026-06-11,Loan settlement to workbook total (principal + flat interest)
ILS24-F00032,MIKOPO-014,9180000,2026-06-12,Loan settlement to workbook total (principal + flat interest)
ILS24-F00018,MIKOPO-015,30450000,2026-05-30,Loan settlement to workbook total (principal + flat interest)
