member_no,date,amount,source,reference,description
ILS24-F00001,2024-03-04,170000,mkoba,SAV-ILS24-F00001-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2024-03-04,80000,mkoba,SAV-ILS24-F00001-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2024-03-10,170000,mkoba,SAV-ILS24-F00001-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2024-03-10,90000,mkoba,SAV-ILS24-F00001-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2024-12-29,400000,mkoba,SAV-ILS24-F00001-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-03-23,100000,mkoba,SAV-ILS24-F00001-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-08-15,1000000,nmb,SAV-ILS24-F00001-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-09-12,190000,nmb,SAV-ILS24-F00001-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-10-11,300000,nmb,SAV-ILS24-F00001-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-10-11,200000,nmb,SAV-ILS24-F00001-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-11-20,1000000,nmb,SAV-ILS24-F00001-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-12-23,1200000,nmb,SAV-ILS24-F00001-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2025-12-23,100000,nmb,SAV-ILS24-F00001-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-01-19,2000000,nmb,SAV-ILS24-F00001-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-01-19,2000000,nmb,SAV-ILS24-F00001-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-02-05,1000000,nmb,SAV-ILS24-F00001-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-02-05,300000,nmb,SAV-ILS24-F00001-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-02-05,500000,nmb,SAV-ILS24-F00001-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,125000,nmb,SAV-ILS24-F00001-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,1200000,nmb,SAV-ILS24-F00001-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,300000,nmb,SAV-ILS24-F00001-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,700000,nmb,SAV-ILS24-F00001-0022,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,1300000,nmb,SAV-ILS24-F00001-0023,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,1000000,nmb,SAV-ILS24-F00001-0024,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,925225,nmb,SAV-ILS24-F00001-0025,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-03-06,1500000,nmb,SAV-ILS24-F00001-0026,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-04-01,3500000,nmb,SAV-ILS24-F00001-0027,Historical savings deposit (Ilboru workbook)
