date,amount,source,reference,description
2024-02-29,170000,mkoba,SAV-ILS24-F00003-0001,Historical savings deposit (Ilboru workbook)
2024-02-29,30000,mkoba,SAV-ILS24-F00003-0002,Historical savings deposit (Ilboru workbook)
2024-03-02,360000,mkoba,SAV-ILS24-F00003-0003,Historical savings deposit (Ilboru workbook)
2024-03-03,140000,mkoba,SAV-ILS24-F00003-0004,Historical savings deposit (Ilboru workbook)
2024-07-19,100000,mkoba,SAV-ILS24-F00003-0005,Historical savings deposit (Ilboru workbook)
2024-12-22,200000,mkoba,SAV-ILS24-F00003-0006,Historical savings deposit (Ilboru workbook)
2025-03-11,100000,nmb,SAV-ILS24-F00003-0007,Historical savings deposit (Ilboru workbook)
2025-03-12,100000,nmb,SAV-ILS24-F00003-0008,Historical savings deposit (Ilboru workbook)
2025-08-15,700000,nmb,SAV-ILS24-F00003-0009,Historical savings deposit (Ilboru workbook)
2025-10-07,300000,nmb,SAV-ILS24-F00003-0010,Historical savings deposit (Ilboru workbook)
2025-10-07,300000,nmb,SAV-ILS24-F00003-0011,Historical savings deposit (Ilboru workbook)
2025-11-05,100000,nmb,SAV-ILS24-F00003-0012,Historical savings deposit (Ilboru workbook)
2025-11-05,1000000,nmb,SAV-ILS24-F00003-0013,Historical savings deposit (Ilboru workbook)
2025-11-05,1000000,nmb,SAV-ILS24-F00003-0014,Historical savings deposit (Ilboru workbook)
2025-11-05,600000,nmb,SAV-ILS24-F00003-0015,Historical savings deposit (Ilboru workbook)
2025-12-07,1200000,nmb,SAV-ILS24-F00003-0016,Historical savings deposit (Ilboru workbook)
2025-12-07,100000,nmb,SAV-ILS24-F00003-0017,Historical savings deposit (Ilboru workbook)
2025-12-07,1300000,nmb,SAV-ILS24-F00003-0018,Historical savings deposit (Ilboru workbook)
2025-12-07,500000,nmb,SAV-ILS24-F00003-0019,Historical savings deposit (Ilboru workbook)
2026-01-04,500000,nmb,SAV-ILS24-F00003-0020,Historical savings deposit (Ilboru workbook)
2026-01-04,1000000,nmb,SAV-ILS24-F00003-0021,Historical savings deposit (Ilboru workbook)
2026-01-04,100000,nmb,SAV-ILS24-F00003-0022,Historical savings deposit (Ilboru workbook)
2026-02-24,500000,nmb,SAV-ILS24-F00003-0023,Historical savings deposit (Ilboru workbook)
2026-02-24,1000000,nmb,SAV-ILS24-F00003-0024,Historical savings deposit (Ilboru workbook)
2026-03-02,1300000,nmb,SAV-ILS24-F00003-0025,Historical savings deposit (Ilboru workbook)
2026-03-02,2000000,nmb,SAV-ILS24-F00003-0026,Historical savings deposit (Ilboru workbook)
2026-03-02,125000,nmb,SAV-ILS24-F00003-0027,Historical savings deposit (Ilboru workbook)
2026-03-02,750000,nmb,SAV-ILS24-F00003-0028,Historical savings deposit (Ilboru workbook)
2026-03-02,2200000,nmb,SAV-ILS24-F00003-0029,Historical savings deposit (Ilboru workbook)
2026-03-02,1120000,nmb,SAV-ILS24-F00003-0030,Historical savings deposit (Ilboru workbook)
2026-03-02,900000,nmb,SAV-ILS24-F00003-0031,Historical savings deposit (Ilboru workbook)
2026-03-02,500000,nmb,SAV-ILS24-F00003-0032,Historical savings deposit (Ilboru workbook)
2026-03-02,100000,nmb,SAV-ILS24-F00003-0033,Historical savings deposit (Ilboru workbook)
2026-03-24,1500000,nmb,SAV-ILS24-F00003-0034,Historical savings deposit (Ilboru workbook)
2026-03-28,400000,nmb,SAV-ILS24-F00003-0035,Historical savings deposit (Ilboru workbook)
2026-03-28,60000,nmb,SAV-ILS24-F00003-0036,Historical savings deposit (Ilboru workbook)
2026-03-28,300000,nmb,SAV-ILS24-F00003-0037,Historical savings deposit (Ilboru workbook)
2026-04-01,3700000,nmb,SAV-ILS24-F00003-0038,Historical savings deposit (Ilboru workbook)
2026-04-01,1000000,nmb,SAV-ILS24-F00003-0039,Historical savings deposit (Ilboru workbook)
2026-04-01,2000000,nmb,SAV-ILS24-F00003-0040,Historical savings deposit (Ilboru workbook)
2026-04-09,150000,nmb,SAV-ILS24-F00003-0041,Historical savings deposit (Ilboru workbook)
2026-04-09,320000,nmb,SAV-ILS24-F00003-0042,Historical savings deposit (Ilboru workbook)
2026-04-11,524210,nmb,SAV-ILS24-F00003-0043,Historical savings deposit (Ilboru workbook)
2026-04-01,900000,nmb,SAV-ILS24-F00003-0044,Historical savings deposit (Ilboru workbook)
2026-04-25,1000000,nmb,SAV-ILS24-F00003-0045,Historical savings deposit (Ilboru workbook)
2026-04-25,1000000,nmb,SAV-ILS24-F00003-0046,Historical savings deposit (Ilboru workbook)
2026-04-25,1000000,nmb,SAV-ILS24-F00003-0047,Historical savings deposit (Ilboru workbook)
2026-04-30,5000000,nmb,SAV-ILS24-F00003-0048,Historical savings deposit (Ilboru workbook)
2026-05-01,500000,nmb,SAV-ILS24-F00003-0049,Historical savings deposit (Ilboru workbook)
2026-05-01,85927,nmb,SAV-ILS24-F00003-0050,Historical savings deposit (Ilboru workbook)
2026-05-09,4000000,nmb,SAV-ILS24-F00003-0051,Historical savings deposit (Ilboru workbook)
2026-05-11,500000,nmb,SAV-ILS24-F00003-0052,Historical savings deposit (Ilboru workbook)
2026-05-15,1000000,nmb,SAV-ILS24-F00003-0053,Historical savings deposit (Ilboru workbook)
2026-05-16,3500000,nmb,SAV-ILS24-F00003-0054,Historical savings deposit (Ilboru workbook)
