member_no,date,amount,source,reference,description
ILS24-F00008,2024-02-26,1000,opening,SHR-ILS24-F00008-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00008,2024-03-01,60000,mkoba,SHR-ILS24-F00008-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00008,2024-03-04,70000,mkoba,SHR-ILS24-F00008-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2024-02-29,50000,mkoba,SHR-ILS24-F00003-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2024-02-29,120000,mkoba,SHR-ILS24-F00003-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2024-03-02,360000,mkoba,SHR-ILS24-F00003-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2024-07-19,100000,mkoba,SHR-ILS24-F00003-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2024-12-22,200000,mkoba,SHR-ILS24-F00003-0005,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2025-03-11,100000,nmb,SHR-ILS24-F00003-0006,Historical share capital (Ilboru DETAILS)
ILS24-F00003,2025-03-12,100000,nmb,SHR-ILS24-F00003-0007,Historical share capital (Ilboru DETAILS)
ILS24-F00015,2024-03-01,50000,mkoba,SHR-ILS24-F00015-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00015,2024-03-11,120000,mkoba,SHR-ILS24-F00015-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00015,2024-08-25,630000,mkoba,SHR-ILS24-F00015-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00015,2024-12-28,200000,mkoba,SHR-ILS24-F00015-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00004,2024-03-01,90000,mkoba,SHR-ILS24-F00004-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00004,2024-03-02,50000,mkoba,SHR-ILS24-F00004-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00004,2024-08-25,100000,mkoba,SHR-ILS24-F00004-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00004,2024-08-26,100000,mkoba,SHR-ILS24-F00004-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00004,2024-12-31,450000,mkoba,SHR-ILS24-F00004-0005,Historical share capital (Ilboru DETAILS)
ILS24-F00004,2024-12-31,170000,mkoba,SHR-ILS24-F00004-0006,Historical share capital (Ilboru DETAILS)
ILS24-F00006,2024-03-02,120000,mkoba,SHR-ILS24-F00006-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00006,2024-03-02,50000,mkoba,SHR-ILS24-F00006-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00006,2024-04-12,120000,mkoba,SHR-ILS24-F00006-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00006,2024-07-13,80000,mkoba,SHR-ILS24-F00006-0004,Historical share capital (Ilboru DETAILS)
